Domain,NE,Time Granularity,Datasources NameCORE,CG,60,CORE CG 60 M167774000 CDR Receival
CORE,CG,60,CORE CG 60 M167774001 CDR Processing
CORE,CG,60,CORE CG 60 M167774002 CDR Preservation
CORE,CG,60,CORE CG 60 M167774003 CDR Storage Space
CORE,CG,60,CORE CG 60 M167774004 RG CDR Information Statistics
CORE,CG,60,CORE CG 60 M167774005 System CDR Information Statistics
CORE,CG CGPOMU,05,CORE CG CGPOMU 05 M1056974608 CPU Load Measurement
CORE,CG CGPOMU,05,CORE CG CGPOMU 05 M1056974609 Performance Measurement of Board Memory
CORE,CG CGPOMU,60,CORE CG CGPOMU 60 M1056974613 Disk Usage Measurement
CORE,DNS,05,CORE DNS 05 M1728053448 DNS capability measure
CORE,DNS,15,CORE DNS 15 M1728053448 DNS capability measure
CORE,DNS,60,CORE DNS 60 M1728053448 DNS capability measure
CORE,eMSC,05,CORE eMSC 05 M83888083 GSM Subscriber Originated Calls
CORE,eMSC,05,CORE eMSC 05 M83888084 UTRAN Subscriber Originated Calls
CORE,eMSC,05,CORE eMSC 05 M83888088 Incoming Calls
CORE,eMSC,05,CORE eMSC 05 M83888089 Outgoing Calls
CORE,eMSC,05,CORE eMSC 05 M83888099 GSM Subscriber Terminated Calls
CORE,eMSC,05,CORE eMSC 05 M83888100 UTRAN Subscriber Terminated Calls
CORE,eMSC,05,CORE eMSC 05 M83888120 CPU Usage
CORE,eMSC,05,CORE eMSC 05 M83888188 Call Answer
CORE,eMSC,05,CORE eMSC 05 M83888190 Call Pre-establishment
CORE,eMSC,05,CORE eMSC 05 M83888217 Number of VLR Subscribers
CORE,eMSC,15,CORE eMSC 15 M83888083 GSM Subscriber Originated Calls
CORE,eMSC,15,CORE eMSC 15 M83888084 UTRAN Subscriber Originated Calls
CORE,eMSC,15,CORE eMSC 15 M83888087 Intra-MSC Calls
CORE,eMSC,15,CORE eMSC 15 M83888088 Incoming Calls
CORE,eMSC,15,CORE eMSC 15 M83888089 Outgoing Calls
CORE,eMSC,15,CORE eMSC 15 M83888099 GSM Subscriber Terminated Calls
CORE,eMSC,15,CORE eMSC 15 M83888100 UTRAN Subscriber Terminated Calls
CORE,eMSC,15,CORE eMSC 15 M83888103 Global Call Failure Causes
CORE,eMSC,15,CORE eMSC 15 M83888106 Incoming Calls through Trunk Groups
CORE,eMSC,15,CORE eMSC 15 M83888107 Outgoing Calls through Trunk Groups
CORE,eMSC,15,CORE eMSC 15 M83888120 CPU Usage
CORE,eMSC,15,CORE eMSC 15 M83888175 GSM Assignment
CORE,eMSC,15,CORE eMSC 15 M83888176 WCDMA Assignment
CORE,eMSC,15,CORE eMSC 15 M83888188 Call Answer
CORE,eMSC,15,CORE eMSC 15 M83888190 Call Pre-establishment
CORE,eMSC,15,CORE eMSC 15 M83888192 Location Management Service
CORE,eMSC,15,CORE eMSC 15 M83888193 Authentication
CORE,eMSC,15,CORE eMSC 15 M83888198 Paging
CORE,eMSC,15,CORE eMSC 15 M83888217 Number of VLR Subscribers
CORE,eMSC,15,CORE eMSC 15 M83888258 Traffic Measurement For LAI
CORE,eMSC,15,CORE eMSC 15 M83888300 Incoming Traffic in Trunk Office Directions
CORE,eMSC,15,CORE eMSC 15 M83888301 Outgoing Traffic in Trunk Office Directions
CORE,eMSC,15,CORE eMSC 15 M83888351 MSC CSSR Traffic
CORE,eMSC,15,CORE eMSC 15 M83888355 Enhanced Destination Code Traffic
CORE,eMSC,15,CORE eMSC 15 M83888480 2G eSRVCC Service Measurement
CORE,eMSC,15,CORE eMSC 15 M83888481 3G eSRVCC Service Measurement
CORE,eMSC,24,CORE eMSC 24 M83888083 GSM Subscriber Originated Calls
CORE,eMSC,24,CORE eMSC 24 M83888084 UTRAN Subscriber Originated Calls
CORE,eMSC,24,CORE eMSC 24 M83888087 Intra-MSC Calls
CORE,eMSC,24,CORE eMSC 24 M83888088 Incoming Calls
CORE,eMSC,24,CORE eMSC 24 M83888089 Outgoing Calls
CORE,eMSC,24,CORE eMSC 24 M83888099 GSM Subscriber Terminated Calls
CORE,eMSC,24,CORE eMSC 24 M83888100 UTRAN Subscriber Terminated Calls
CORE,eMSC,24,CORE eMSC 24 M83888103 Global Call Failure Causes
CORE,eMSC,24,CORE eMSC 24 M83888106 Incoming Calls through Trunk Groups
CORE,eMSC,24,CORE eMSC 24 M83888107 Outgoing Calls through Trunk Groups
CORE,eMSC,24,CORE eMSC 24 M83888114 Incoming Calls in Mobile Office Directions
CORE,eMSC,24,CORE eMSC 24 M83888115 Outgoing Calls in Mobile Office Directions
CORE,eMSC,24,CORE eMSC 24 M83888121 Traffic over MTP Signaling Links
CORE,eMSC,24,CORE eMSC 24 M83888122 Traffic over MTP Signaling Link Sets
CORE,eMSC,24,CORE eMSC 24 M83888163 Traffic over M3UA Signaling Links
CORE,eMSC,24,CORE eMSC 24 M83888164 Traffic over M3UA Signaling Link Sets
CORE,eMSC,24,CORE eMSC 24 M83888166 Traffic over M2UA Signaling Links
CORE,eMSC,24,CORE eMSC 24 M83888183 Traffic over M2UA Link Sets
CORE,eMSC,24,CORE eMSC 24 M83888188 Call Answer
CORE,eMSC,24,CORE eMSC 24 M83888190 Call Pre-establishment
CORE,eMSC,24,CORE eMSC 24 M83888192 Location Management Service
CORE,eMSC,24,CORE eMSC 24 M83888193 Authentication
CORE,eMSC,24,CORE eMSC 24 M83888198 Paging
CORE,eMSC,24,CORE eMSC 24 M83888300 Incoming Traffic in Trunk Office Directions
