tds_name,tds_table_name,tds_column_name
t_f60_dns_m1728053448,pms.t_f60_dns_m1728053448,c1728053553
t_f05_dns_m1728053448,pms.t_dim_mdatetime,date_id
t_f05_dns_m1728053448,pms.t_dim_mdatetime,week_of_year
t_f05_dns_m1728053448,pms.t_dim_mdatetime,day
t_f15_dns_m1728053448,pms.t_dim_mdatetime,date_id
t_f15_dns_m1728053448,pms.t_dim_mdatetime,week_of_year
t_f15_dns_m1728053448,pms.t_dim_mdatetime,day
t_f60_dns_m1728053448,pms.t_dim_mdatetime,date_id
t_f60_dns_m1728053448,pms.t_dim_mdatetime,week_of_year
t_f60_dns_m1728053448,pms.t_dim_mdatetime,day
t_f05_dns_m1728053448,pms.t_dim_dns,ne_sys_id
t_f15_dns_m1728053448,pms.t_dim_dns,ne_sys_id
t_f60_dns_m1728053448,pms.t_dim_dns,ne_sys_id
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,inserttime
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053562
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053561
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053560
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053557
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053556
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053555
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053554
t_f15_dns_m1728053448,pms.t_f15_dns_m1728053448,c1728053553
