Alert No,Timeframe,NE Type,Alarm Category
CA3505,yesterday,234GUSN,PS CORE
CA3506,yesterday,234GUSN,PS CORE
CA4501,yesterday,234GUSN,PS CORE
CA4502,yesterday,234GUSN,PS CORE
CA4503,yesterday,234GUSN,PS CORE
NS001,Last 15-minute(PM Alert),4GUSN,PS CORE
NS004,Last 30-minute(PM Alert),4GUSN,PS CORE
NS005,Last 60-minute(PM Alert),4GUSN,PS CORE
NS006,Last 30-minute(PM Alert),4GUSN,PS CORE
NS007,Last 15-minute(PM Alert),4GUSN,PS CORE
NS100,Last Hour(Hourly Alert),4GUSN,PS CORE
NS102,Last Hour,4GUSN,PS CORE
NS103,Last Hour,4GUSN,PS CORE
NS104,Last Hour,4GUSN,PS CORE
NS105,Last Hour,4GUSN,PS CORE
NS106,Last Hour,4GUSN,PS CORE
NS110,Last 15-minutes(PM Alert),SPS,CS Core
NS111,Last 15-minutes(PM Alert),SPS,CS Core
NS112,Last 15-minutes(PM Alert),UPCC,UPCC
NS113,Last 15-minutes(PM Alert),SMS,SMSC
NS114,Last 15-minutes(PM Alert),MSC,MSC
